dataset,value_type,data_form,mean_acc,low_acc,high_acc,stab_coeff_var
M4 Daily (Run 4),adaptation,original + frac_diff + first_order_diff,0.9467,0.9043,1.0000,3.0824
M4 Daily (Run 4),adaptation,original + frac_diff,0.9570,0.9000,0.9823,2.3078
M4 Daily (Run 4),adaptation,original + first_order_diff,0.4790,0.4032,0.5298,7.5589
M4 Daily (Run 4),adaptation,original,0.5361,0.4452,0.6581,10.9432
S&P 500 (Run 1),adaptation,frac_diff,0.6701,0.5329,0.8547,8.8348
S&P 500 (Run 1),adaptation,first_order_diff,0.5709,0.4749,0.7386,9.0353
S&P 500 (Run 1),adaptation,original,0.6894,0.5611,0.8599,9.1587
S&P 500 (Run 2),adaptation,original + frac_diff + first_order_diff,0.7902,0.6673,0.9280,7.2108
S&P 500 (Run 2),adaptation,original + frac_diff,0.8226,0.7371,0.9377,5.6042
S&P 500 (Run 2),adaptation,original + first_order_diff,0.6799,0.5569,0.8526,9.2119
S&P 500 (Run 2),adaptation,original,0.6894,0.5611,0.8599,9.1587
S&P 500 (Run 3),adaptation,frac_diff_ta,0.9996,0.9787,1.0000,0.2475
S&P 500 (Run 3),adaptation,original_ta + frac_diff_ta,0.9974,0.8104,1.0000,2.0971
S&P 500 (Run 3),adaptation,original_ta,0.6894,0.5611,0.8599,9.1587
M4 Daily (Run 4),consolidation,original + frac_diff + first_order_diff,0.9464,0.9204,0.9615,1.3778
M4 Daily (Run 4),consolidation,original + frac_diff,0.9595,0.9226,0.9710,1.3955
M4 Daily (Run 4),consolidation,original + first_order_diff,0.4944,0.4710,0.5215,2.6219
M4 Daily (Run 4),consolidation,original,0.5271,0.4903,0.6151,4.8533
S&P 500 (Run 1),consolidation,frac_diff,0.6381,0.6158,0.6552,1.5355
S&P 500 (Run 1),consolidation,first_order_diff,0.5637,0.5176,0.5754,1.5250
S&P 500 (Run 1),consolidation,original,0.6521,0.6287,0.6889,1.4528
S&P 500 (Run 2),consolidation,original + frac_diff + first_order_diff,0.7482,0.7014,0.8159,2.3175
S&P 500 (Run 2),consolidation,original + frac_diff,0.7801,0.7415,0.8271,1.4788
S&P 500 (Run 2),consolidation,original + first_order_diff,0.6430,0.6261,0.6712,1.3895
S&P 500 (Run 2),consolidation,original,0.6521,0.6287,0.6889,1.4528
S&P 500 (Run 3),consolidation,frac_diff_ta,0.9998,0.9927,1.0000,0.0891
S&P 500 (Run 3),consolidation,original_ta + frac_diff_ta,0.9999,0.9949,1.0000,0.0595
S&P 500 (Run 3),consolidation,original_ta,0.6521,0.6287,0.6889,1.4528
